Dates,Total Rating
2016_07_21 00_00,1281802
2016_07_21 00_10,1281802
2016_07_21 00_20,1281802
2016_07_21 00_30,1281802
2016_07_21 00_40,1281802
2016_07_21 00_50,1281802
2016_07_21 01_00,1281802
2016_07_21 01_10,1281802
2016_07_21 01_20,1281802
2016_07_21 01_30,1281802
2016_07_21 01_40,1281802
2016_07_21 01_50,1281802
2016_07_21 02_00,1281802
2016_07_21 02_10,1281802
2016_07_21 02_20,1281802
2016_07_21 02_30,1281802
2016_07_21 02_40,1281802
2016_07_21 02_50,1281802
2016_07_21 03_00,1281802
2016_07_21 03_10,1281802
2016_07_21 03_20,1281802
2016_07_21 03_30,1281802
2016_07_21 03_40,1281802
2016_07_21 03_50,1281802
2016_07_21 04_00,1292537
2016_07_21 04_10,1292537
2016_07_21 04_20,1292537
2016_07_21 04_30,1292537
2016_07_21 04_40,1292537
2016_07_21 04_50,1292537
2016_07_21 05_00,1292537
2016_07_21 05_10,1292537
2016_07_21 05_20,1292537
2016_07_21 05_30,1292537
2016_07_21 05_40,1292537
2016_07_21 05_50,1292537
2016_07_21 06_00,1292537
2016_07_21 06_10,1292537
2016_07_21 06_20,1292537
2016_07_21 06_30,1292537
2016_07_21 06_40,1292537
2016_07_21 06_50,1292537
2016_07_21 07_00,1292537
2016_07_21 07_10,1292537
2016_07_21 07_20,1292537
2016_07_21 07_30,1292537
2016_07_21 07_40,1292537
2016_07_21 07_50,1292537
2016_07_21 08_00,1305525
2016_07_21 08_10,1305525
2016_07_21 08_20,1305525
2016_07_21 08_30,1305525
2016_07_21 08_40,1305525
2016_07_21 08_50,1305525
2016_07_21 09_00,1305525
2016_07_21 09_10,1305525
2016_07_21 09_20,1305525
2016_07_21 09_30,1305525
2016_07_21 09_40,1305525
2016_07_21 09_50,1305525
2016_07_21 10_00,1305525
2016_07_21 10_10,1305525
2016_07_21 10_20,1305525
2016_07_21 10_30,1305525
2016_07_21 10_40,1305525
2016_07_21 10_50,1305525
2016_07_21 11_00,1305525
2016_07_21 11_10,1305525
2016_07_21 11_20,1305525
2016_07_21 11_30,1305525
2016_07_21 11_40,1305525
2016_07_21 11_50,1305525
2016_07_21 12_00,1319394
2016_07_21 12_10,1319394
2016_07_21 12_20,1319394
2016_07_21 12_30,1319394
2016_07_21 12_40,1319394
2016_07_21 12_50,1319394
2016_07_21 13_00,1319394
2016_07_21 13_10,1319394
2016_07_21 13_20,1319394
2016_07_21 13_30,1319394
2016_07_21 13_40,1319394
2016_07_21 13_50,1319394
2016_07_21 14_00,1319394
2016_07_21 14_10,1319394
2016_07_21 14_20,1319394
2016_07_21 14_30,1319394
2016_07_21 14_40,1319394
2016_07_21 14_50,1319394
2016_07_21 15_00,1319394
2016_07_21 15_10,1319394
2016_07_21 15_20,1319394
2016_07_21 15_30,1319394
2016_07_21 15_40,1319394
2016_07_21 15_50,1319394
2016_07_21 16_00,1334278
2016_07_21 16_10,1334278
2016_07_21 16_20,1334278
2016_07_21 16_30,1334278
2016_07_21 16_40,1334278
2016_07_21 16_50,1334278
2016_07_21 17_00,1334278
2016_07_21 17_10,1334278
2016_07_21 17_20,1334278
2016_07_21 17_30,1334278
2016_07_21 17_40,1334278
2016_07_21 17_50,1334278
2016_07_21 18_00,1334278
2016_07_21 18_10,1334278
2016_07_21 18_20,1334278
2016_07_21 18_30,1334278
2016_07_21 18_40,1334278
2016_07_21 18_50,1334278
2016_07_21 19_00,1334278
2016_07_21 19_10,1334278
2016_07_21 19_20,1334278
2016_07_21 19_30,1334278
2016_07_21 19_40,1334278
2016_07_21 19_50,1334278
2016_07_21 20_00,1344609
2016_07_21 20_10,1344609
2016_07_21 20_20,1344609
2016_07_21 20_30,1344609
2016_07_21 20_40,1344609
2016_07_21 20_50,1344609
2016_07_21 21_00,1344609
2016_07_21 21_10,1344609
2016_07_21 21_20,1344609
2016_07_21 21_30,1344609
2016_07_21 21_40,1344609
2016_07_21 21_50,1344609
2016_07_21 22_00,1344609
2016_07_21 22_10,1344609
2016_07_21 22_20,1344609
2016_07_21 22_30,1344609
2016_07_21 22_40,1344609
2016_07_21 22_50,1344609
2016_07_21 23_00,1344609
2016_07_21 23_10,1344609
2016_07_21 23_20,1344609
2016_07_21 23_30,1344609
2016_07_21 23_40,1344609
2016_07_21 23_50,1344609
2016_07_22 00_00,1357265
2016_07_22 00_10,1357265
2016_07_22 00_20,1357265
2016_07_22 00_30,1357265
2016_07_22 00_40,1357265
2016_07_22 00_50,1357265
2016_07_22 01_00,1357265
2016_07_22 01_10,1357265
2016_07_22 01_20,1357265
2016_07_22 01_30,1357265
2016_07_22 01_40,1357265
2016_07_22 01_50,1357265
2016_07_22 02_00,1357265
2016_07_22 02_10,1357265
2016_07_22 02_20,1357265
2016_07_22 02_30,1357265
2016_07_22 02_40,1357265
2016_07_22 02_50,1357265
2016_07_22 03_00,1357265
2016_07_22 03_10,1357265
2016_07_22 03_20,1357265
2016_07_22 03_30,1357265
2016_07_22 03_40,1357265
2016_07_22 03_50,1357265
2016_07_22 04_00,1357265
2016_07_22 04_10,1370721
2016_07_22 04_20,1370721
2016_07_22 04_30,1370721
2016_07_22 04_40,1370721
2016_07_22 04_50,1370721
2016_07_22 05_00,1370721
2016_07_22 05_10,1370721
2016_07_22 05_20,1370721
2016_07_22 05_30,1370721
2016_07_22 05_40,1370721
2016_07_22 05_50,1370721
2016_07_22 06_00,1370721
2016_07_22 06_10,1370721
