Dates,Total Rating
2016_07_21 00_00,106508
2016_07_21 00_10,106508
2016_07_21 00_20,106508
2016_07_21 00_30,106508
2016_07_21 00_40,106508
2016_07_21 00_50,106508
2016_07_21 01_00,106508
2016_07_21 01_10,106508
2016_07_21 01_20,106508
2016_07_21 01_30,106508
2016_07_21 01_40,106508
2016_07_21 01_50,106508
2016_07_21 02_00,106508
2016_07_21 02_10,106508
2016_07_21 02_20,106508
2016_07_21 02_30,106508
2016_07_21 02_40,106508
2016_07_21 02_50,106508
2016_07_21 03_00,106508
2016_07_21 03_10,106508
2016_07_21 03_20,107460
2016_07_21 03_30,106508
2016_07_21 03_40,107460
2016_07_21 03_50,107460
2016_07_21 04_00,107460
2016_07_21 04_10,107460
2016_07_21 04_20,107460
2016_07_21 04_30,107460
2016_07_21 04_40,107460
2016_07_21 04_50,107460
2016_07_21 05_00,107460
2016_07_21 05_10,107460
2016_07_21 05_20,107460
2016_07_21 05_30,107460
2016_07_21 05_40,107460
2016_07_21 05_50,107460
2016_07_21 06_00,107460
2016_07_21 06_10,107460
2016_07_21 06_20,107460
2016_07_21 06_30,107460
2016_07_21 06_40,107460
2016_07_21 06_50,107460
2016_07_21 07_00,107460
2016_07_21 07_10,107460
2016_07_21 07_20,107460
2016_07_21 07_30,107460
2016_07_21 07_40,107460
2016_07_21 07_50,107460
2016_07_21 08_00,107460
2016_07_21 08_10,107460
2016_07_21 08_20,107460
2016_07_21 08_30,107460
2016_07_21 08_40,107460
2016_07_21 08_50,107460
2016_07_21 09_00,107460
2016_07_21 09_10,107460
2016_07_21 09_20,107460
2016_07_21 09_30,107460
2016_07_21 09_40,107460
2016_07_21 09_50,107460
2016_07_21 10_00,107460
2016_07_21 10_10,107460
2016_07_21 10_20,107460
2016_07_21 10_30,107460
2016_07_21 10_40,107460
2016_07_21 10_50,107460
2016_07_21 11_00,107972
2016_07_21 11_10,107460
2016_07_21 11_20,107972
2016_07_21 11_30,107972
2016_07_21 11_40,107972
2016_07_21 11_50,107972
2016_07_21 12_00,107972
2016_07_21 12_10,107972
2016_07_21 12_20,107972
2016_07_21 12_30,107972
2016_07_21 12_40,107972
2016_07_21 12_50,107972
2016_07_21 13_00,107972
2016_07_21 13_10,107972
2016_07_21 13_20,107972
2016_07_21 13_30,107972
2016_07_21 13_40,107972
2016_07_21 13_50,107972
2016_07_21 14_00,107972
2016_07_21 14_10,107972
2016_07_21 14_20,107972
2016_07_21 14_30,107972
2016_07_21 14_40,107972
2016_07_21 14_50,107972
2016_07_21 15_00,107972
2016_07_21 15_10,108570
2016_07_21 15_20,108570
2016_07_21 15_30,108570
2016_07_21 15_40,108570
2016_07_21 15_50,108570
2016_07_21 16_00,108570
2016_07_21 16_10,108570
2016_07_21 16_20,108570
2016_07_21 16_30,108570
2016_07_21 16_40,108570
2016_07_21 16_50,108570
2016_07_21 17_00,108570
2016_07_21 17_10,108570
2016_07_21 17_20,108570
2016_07_21 17_30,108570
2016_07_21 17_40,108570
2016_07_21 17_50,108570
2016_07_21 18_00,108570
2016_07_21 18_10,108570
2016_07_21 18_20,108570
2016_07_21 18_30,108570
2016_07_21 18_40,108570
2016_07_21 18_50,108570
2016_07_21 19_00,108886
2016_07_21 19_10,108886
2016_07_21 19_20,108886
2016_07_21 19_30,108886
2016_07_21 19_40,108886
2016_07_21 19_50,108886
2016_07_21 20_00,108886
2016_07_21 20_10,108886
2016_07_21 20_20,108886
2016_07_21 20_30,108886
2016_07_21 20_40,108886
2016_07_21 20_50,108886
2016_07_21 21_00,108886
2016_07_21 21_10,108886
2016_07_21 21_20,108886
2016_07_21 21_30,108886
2016_07_21 21_40,108886
2016_07_21 21_50,108886
2016_07_21 22_00,108886
2016_07_21 22_10,108886
2016_07_21 22_20,108886
2016_07_21 22_30,108886
2016_07_21 22_40,108886
2016_07_21 22_50,108886
2016_07_21 23_00,108886
2016_07_21 23_10,108886
2016_07_21 23_20,108886
2016_07_21 23_30,108886
2016_07_21 23_40,109369
2016_07_21 23_50,109369
2016_07_22 00_00,109369
2016_07_22 00_10,109369
2016_07_22 00_20,109369
2016_07_22 00_30,109369
2016_07_22 00_40,109369
2016_07_22 00_50,109369
2016_07_22 01_00,109369
2016_07_22 01_10,109369
2016_07_22 01_20,109369
2016_07_22 01_30,109369
2016_07_22 01_40,109369
2016_07_22 01_50,109369
2016_07_22 02_00,109369
2016_07_22 02_10,109369
2016_07_22 02_20,109369
2016_07_22 02_30,109369
2016_07_22 02_40,109369
2016_07_22 02_50,109369
2016_07_22 03_00,109369
2016_07_22 03_10,109369
2016_07_22 03_20,109777
2016_07_22 03_30,109777
2016_07_22 03_40,109777
2016_07_22 03_50,109777
2016_07_22 04_00,109777
2016_07_22 04_10,109777
2016_07_22 04_20,109777
2016_07_22 04_30,109777
2016_07_22 04_40,109777
2016_07_22 04_50,109777
2016_07_22 05_00,109777
2016_07_22 05_10,109777
2016_07_22 05_20,109777
2016_07_22 05_30,109777
2016_07_22 05_40,109777
2016_07_22 05_50,109777
2016_07_22 06_00,109777
2016_07_22 06_10,109777
2016_07_22 06_20,109777
2016_07_22 06_30,109777
2016_07_22 06_40,109777
2016_07_22 06_50,109777
2016_07_22 07_00,109777
2016_07_22 07_10,109777
2016_07_22 07_20,109991
2016_07_22 07_30,109777
2016_07_22 07_40,109991
2016_07_22 07_50,109991
2016_07_22 08_00,109991
2016_07_22 08_10,109991
2016_07_22 08_20,109991
2016_07_22 08_30,109991
2016_07_22 08_40,109991
2016_07_22 08_50,109991
2016_07_22 09_00,109991
2016_07_22 09_10,109991
2016_07_22 09_20,109991
2016_07_22 09_30,109991
2016_07_22 09_40,109991
2016_07_22 09_50,109991
2016_07_22 10_00,109991
2016_07_22 10_10,109991
2016_07_22 10_20,109991
2016_07_22 10_30,109991
2016_07_22 10_40,109991
2016_07_22 10_50,109991
2016_07_22 11_00,109991
2016_07_22 11_10,110258
2016_07_22 11_20,110258
2016_07_22 11_30,110258
2016_07_22 11_40,110258
2016_07_22 11_50,110258
2016_07_22 12_00,110258
2016_07_22 12_10,110258
2016_07_22 12_20,110258
2016_07_22 12_30,110258
2016_07_22 12_40,110258
2016_07_22 12_50,110258
2016_07_22 13_00,110258
2016_07_22 13_10,110258
2016_07_22 13_20,110258
2016_07_22 13_30,110258
2016_07_22 13_40,110258
2016_07_22 13_50,110258
2016_07_22 14_00,110258
2016_07_22 14_10,110258
2016_07_22 14_20,110258
2016_07_22 14_30,110258
2016_07_22 14_40,110258
2016_07_22 14_50,110258
2016_07_22 15_00,110625
2016_07_22 15_10,110625
2016_07_22 15_20,110625
2016_07_22 15_30,110625
2016_07_22 15_40,110625
2016_07_22 15_50,110625
2016_07_22 16_00,110625
2016_07_22 16_10,110625
2016_07_22 16_20,110625
2016_07_22 16_30,110625
2016_07_22 16_40,110625
2016_07_22 16_50,110625
2016_07_22 17_00,110625
2016_07_22 17_10,110625
2016_07_22 17_20,110625
2016_07_22 17_30,110625
2016_07_22 17_40,110625
2016_07_22 17_50,110625
2016_07_22 18_00,110625
2016_07_22 18_10,110625
2016_07_22 18_20,110625
2016_07_22 18_30,110625
2016_07_22 18_40,110625
2016_07_22 18_50,110625
2016_07_22 19_00,110625
2016_07_22 19_10,110625
2016_07_22 19_20,111140
2016_07_22 19_30,111140
2016_07_22 19_40,111140
2016_07_22 19_50,111140
